datetime,upper_band,middle_band,lower_band,open,high,low,close,volume
2023-04-28 15:59:00,240.34058,238.77305,237.20553,240.13000,240.32001,240.03999,240.32001,612847
2023-04-28 15:58:00,240.09219,238.65155,237.21092,240.01450,240.14000,239.96001,240.12000,304412
2023-04-28 15:57:00,239.84556,238.54259,237.23962,239.87000,240.08000,239.75000,240.02000,267989
2023-04-28 15:56:00,239.57187,238.44309,237.31431,239.95000,240.05000,239.86000,239.87000,268030
2023-04-28 15:55:00,239.28324,238.34909,237.41495,239.30499,239.95000,239.28999,239.95000,302096
2023-04-28 15:54:00,238.83820,238.25809,237.67799,238.53999,239.46001,238.53000,239.28979,362465
2023-04-28 15:53:00,238.53844,238.19560,237.85277,238.42000,238.75999,238.38000,238.54170,138971
2023-04-28 15:52:00,238.48199,238.17809,237.87419,238.42500,238.55969,238.34000,238.42999,107467
2023-04-28 15:51:00,238.47986,238.17759,237.87532,238.42000,238.50500,238.37010,238.42500,104233
2023-04-28 15:50:00,238.50511,238.18284,237.86057,238.12000,238.55231,238.08000,238.41499,133218
2023-04-28 15:49:00,238.58841,238.19859,237.80877,238.30859,238.31000,238.09731,238.12000,83206
2023-04-28 15:48:00,238.71547,238.23518,237.75488,238.23000,238.33850,238.15410,238.28000,86682
2023-04-28 15:47:00,238.84427,238.26918,237.69408,238.17000,238.28050,238.03999,238.25000,57711
2023-04-28 15:46:00,238.98819,238.31118,237.63416,238.16000,238.25000,238.03000,238.22000,56466
2023-04-28 15:45:00,239.12854,238.35837,237.58819,238.32001,238.37520,238.16960,238.16960,102779
2023-04-28 15:44:00,239.22334,238.40239,237.58143,238.27000,238.42999,238.23640,238.33000,87889
2023-04-28 15:43:00,239.30535,238.43839,237.57143,238.10750,238.28999,238.03999,238.28500,68311
2023-04-28 15:42:00,239.37990,238.47664,237.57338,238.19000,238.20000,237.98000,238.10500,59024
2023-04-28 15:41:00,239.44819,238.52539,237.60259,238.16000,238.30000,238.13010,238.19000,99168
2023-04-28 15:40:00,239.50395,238.56814,237.63232,237.90500,238.19000,237.75999,238.13000,111246
2023-04-28 15:39:00,239.59718,238.62814,237.65909,237.97000,237.98610,237.77029,237.89000,76752
2023-04-28 15:38:00,239.66421,238.70314,237.74206,238.05000,238.12000,237.89000,237.94070,86468
2023-04-28 15:37:00,239.69898,238.77123,237.84348,237.99001,238.20770,237.94000,238.03000,50939
2023-04-28 15:36:00,239.70946,238.82973,237.95000,238.12959,238.28999,237.97000,237.99010,84365
2023-04-28 15:35:00,239.70914,238.89573,238.08231,238.00999,238.21001,237.91440,238.13000,117095
2023-04-28 15:34:00,239.71376,238.95723,238.20069,238.16000,238.22000,238.03000,238.03999,98881
2023-04-28 15:33:00,239.68206,239.02673,238.37139,238.41000,238.45000,238.14999,238.19141,74816
2023-04-28 15:32:00,239.60899,239.07565,238.54232,238.52960,238.56000,238.26500,238.42000,115295
2023-04-28 15:31:00,239.62051,239.13391,238.64730,238.73340,238.78990,238.42010,238.53000,94460
2023-04-28 15:30:00,239.63722,239.18891,238.74060,238.86000,238.97000,238.63000,238.73000,95548
2023-04-28 15:29:00,239.66264,239.23241,238.80218,238.96001,239.01030,238.80000,238.85170,77387
2023-04-28 15:28:00,239.69014,239.26958,238.84901,239.09190,239.09190,238.96001,238.96001,48569
2023-04-28 15:27:00,239.73271,239.30458,238.87644,239.14000,239.19000,239.07001,239.09000,41602
2023-04-28 15:26:00,239.76651,239.33058,238.89464,239.06000,239.19000,239.06000,239.16380,38615
2023-04-28 15:25:00,239.79881,239.35314,238.90746,239.02499,239.06020,238.98000,239.05000,46759
2023-04-28 15:24:00,239.82056,239.38214,238.94372,239.03999,239.11990,238.98500,239.05000,86778
2023-04-28 15:23:00,239.90582,239.42764,238.94946,239.08000,239.10001,238.89999,239.05000,74402
2023-04-28 15:22:00,239.94872,239.46814,238.98755,239.02000,239.10001,238.94000,239.08000,73900
2023-04-28 15:21:00,240.04740,239.52065,238.99389,239.32001,239.33501,239.02010,239.04500,74881
2023-04-28 15:20:00,240.11524,239.57440,239.03356,239.38499,239.40500,239.30000,239.33000,49516
2023-04-28 15:19:00,240.18047,239.61132,239.04217,239.30000,239.48000,239.30000,239.39000,75604
2023-04-28 15:18:00,240.28984,239.65682,239.02380,239.20500,239.35001,239.20500,239.30260,45507
2023-04-28 15:17:00,240.39895,239.71144,239.02393,239.35001,239.36000,239.16820,239.20000,51682
2023-04-28 15:16:00,240.46162,239.76744,239.07327,239.35210,239.39999,239.27000,239.31000,47497
2023-04-28 15:15:00,240.51289,239.81644,239.11999,239.39000,239.48000,239.32001,239.36000,69624
2023-04-28 15:14:00,240.54241,239.85894,239.17548,239.18190,239.42999,239.08000,239.42999,96080
2023-04-28 15:13:00,240.56112,239.89544,239.22977,239.60001,239.64000,239.14999,239.17000,98680
2023-04-28 15:12:00,240.52799,239.94419,239.36040,239.63000,239.68990,239.55000,239.58501,72423
